service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2016MA-1BUSWK-Weekday-05,1,1,1,1,1,0,0,20160426,20160513
2016MA-1BUSWK-Weekday-05-0000100,0,0,0,0,1,0,0,20160426,20160513
2016MA-1BUSWK-Weekday-05-1111000,1,1,1,1,0,0,0,20160426,20160513
2016MA-1BUSWK-Weekday-05-1101100,1,1,0,1,1,0,0,20160426,20160513
2016MA-1BUSWK-Weekday-05-0010000,0,0,1,0,0,0,0,20160426,20160513
2016MA-1BUSSA-Saturday-01,0,0,0,0,0,1,0,20160430,20160514
2016MA-1BUSSU-Sunday-01,0,0,0,0,0,0,1,20160501,20160515
2016MA-1BUSWK-Weekday-06,1,1,1,1,1,0,0,20160516,20160624
2016MA-1BUSWK-Weekday-06-0000100,0,0,0,0,1,0,0,20160516,20160624
2016MA-1BUSWK-Weekday-06-1111000,1,1,1,1,0,0,0,20160516,20160624
2016MA-1BUSWK-Weekday-06-1101100,1,1,0,1,1,0,0,20160516,20160624
2016MA-1BUSWK-Weekday-06-0010000,0,0,1,0,0,0,0,20160516,20160624
2016MA-1BUSSA-Saturday-06,0,0,0,0,0,1,0,20160521,20160625
2016MA-1BUSSU-Sunday-06,0,0,0,0,0,0,1,20160522,20160626
2016MA-1LRTWK-Weekday-02,1,1,1,1,1,0,0,20160426,20160624
2016MA-1LRTSA-Saturday-02,0,0,0,0,0,1,0,20160430,20160625
2016MA-1LRTSU-Sunday-02,0,0,0,0,0,0,1,20160501,20160626
