stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
112112,112112,"Crescent Heights High School",,  51.060931,-114.065158,,,0
112113,112113,"12 AV NW @ 1 ST NW - Crescent Heights",,  51.062419,-114.065260,,,0
2018,2018,"NB Country Village LI south of Country Village Rd",,  51.158550,-114.067715,,,0
2020,2020,"NB 69 ST SW @ Elmont DR",,  51.028872,-114.187317,,,0
2021,2021,"SB 69 ST SW @ Elmont DR",,  51.028489,-114.187737,,,0
2024,2024,"SB Edmonton TR @ 6 AV NE",,  51.057730,-114.054426,,,0
2030,2030,"SB 7 ST SW @ 7 AVE SW",,  51.047054,-114.078824,,,0
2031,2031,"WB Nolan Hill Gate @ Shanappi Tr NW",,  51.179856,-114.161529,,,0
2032,2032,"SB Nolan Hill Dr @ NolanCrest Heights NW",,  51.176284,-114.162167,,,0
2033,2033,"SB Nolan Hill Dr @ Nolanfield Rd NW",,  51.172971,-114.160688,,,0
2034,2034,"EB Nolan Hill Blvd farside Nolan Hill Dr",,  51.171528,-114.159184,,,0
2035,2035,"NB Nolan Hill Dr @ Nolanfield Rd NW",,  51.172571,-114.160533,,,0
2036,2036,"NB Nolan Hill Dr @ Nolanfield Ln NW",,  51.174407,-114.160997,,,0
2037,2037,"NB Nolan Hill Dr @ Nolanfield Hts NW",,  51.176731,-114.162292,,,0
2038,2038,"EB Nolan Hill Gate @ Nolanfield Way NW",,  51.179002,-114.162744,,,0
2039,2039,"WB Nolan Hill Blvd @ Shaganappi Tr NW",,  51.172536,-114.155891,,,0
2112,2112,"EB Auburn Bay DR @ S.LEG Auburn Glen HT SE",,  50.894138,-113.956180,,,0
2113,2113,"EB Auburn Bay DR @ Auburn Glen GR SE",,  50.897821,-113.952971,,,0
2114,2114,"EB Auburn Bay DR @ Auburn Glen DR SE",,  50.898734,-113.950382,,,0
2115,2115,"EB Auburn Bay DR @ 56 ST SE",,  50.899194,-113.947193,,,0
2116,2116,"EB Mahogany BV @ Mahogany GA SE",,  50.899358,-113.937620,,,0
2118,2118,"WB Mahogany GA @ Mahogany BV SE",,  50.899631,-113.937671,,,0
2119,2119,"WB Auburn Bay DR @ Auburn Meadows BV",,  50.899352,-113.948024,,,0
2120,2120,"WB Auburn Bay DR @ Auburn Glen DR SE",,  50.898166,-113.952893,,,0
2121,2121,"WB Auburn Bay DR @ Auburn Glen GR SE",,  50.897618,-113.953707,,,0
2122,2122,"WB Auburn Bay DR @ Auburn Glen WY SE",,  50.895969,-113.955087,,,0
2123,2123,"WB Cranston DR @ Cranston BV",,  50.891879,-113.985865,,,0
2124,2124,"SB Cranston DR @ Cranston GA SE",,  50.888279,-113.988168,,,0
2125,2125,"SB Cranston DR @ Cranston WY SE",,  50.885849,-113.988230,,,0
2126,2126,"EB Cranston DR @ W. Leg Cranridge HT SE",,  50.882874,-113.986014,,,0
2127,2127,"EB Cranston DR @ Cranridge TC SE",,  50.881978,-113.981265,,,0
2128,2128,"NB New Brighton DR @ New Brighton AV SE",,  50.921817,-113.936465,,,0
2129,2129,"EB New Brighton DR @ New Brighton HT SE",,  50.916486,-113.940834,,,0
2130,2130,"EB New Brighton DR @ New Brighton PA SE",,  50.917433,-113.937045,,,0
2131,2131,"EB New Brighton DR @ New Brighton GV SE",,  50.919602,-113.935511,,,0
2132,2132,"WB New Brighton DR @ BrightonCrest PT SE",,  50.923482,-113.938641,,,0
2133,2133,"WB New Brighton DR @ BrightonCrest TC SE",,  50.922111,-113.942857,,,0
2134,2134,"WB New Brighton DR @ BrightonCrest RI SE",,  50.921989,-113.946441,,,0
2135,2135,"WB New Brighton DR @ BrightonCrest MR SE",,  50.924384,-113.949381,,,0
2148,2148,"WB 14 AV SW @ Ascot DR",,  51.045264,-114.220049,,,0
2149,2149,"Tuscany Station - Rocky Ridge Terminal",,  51.135152,-114.234723,,,0
2150,2150,"Tuscany Station - Rocky Ridge Terminal",,  51.134969,-114.234870,,,0
2151,2151,"Tuscany Station - Rocky Ridge Terminal",,  51.134823,-114.234991,,,0
2152,2152,"Tuscany Station - Tuscany Terminal",,  51.133837,-114.235604,,,0
2153,2153,"Tuscany Station - Tuscany Terminal",,  51.133597,-114.235268,,,0
2155,2155,"SB 23 ST NE @ 37 AV NE",,  51.086447,-114.005180,,,0
2156,2156,"SB 23 ST NE @ 35 AV NE",,  51.083712,-114.005231,,,0
2157,2157,"NB 23 ST NE @ 35 AV NE",,  51.083995,-114.004990,,,0
2158,2158,"NB 23 ST NE @ 32 AV NE",,  51.082219,-114.004926,,,0
2164,2164,"EB Shawville GA @ Shawville LI SE",,  50.898931,-114.064968,,,0
2165,2165,"SB 5 ST SW @ 5 AV SW",,  51.048407,-114.073879,,,0
2166,2166,"EB 17AV SE @ 65 ST SE",,  51.037756,-113.938530,,,0
2177,2177,"EB 17 AV SE @ 68 ST SE",,  51.037706,-113.934228,,,0
2178,2178,"EB 17 AV SE @ 70 ST SE",,  51.037720,-113.929609,,,0
2179,2179,"WB 17 AV SE @ 68 ST SE",,  51.037906,-113.936009,,,0
2180,2180,"WB 17 AV SE @ 70 ST SE",,  51.037937,-113.931015,,,0
2234,2234,"WB 6 AV SE @ 1 ST SE",,  51.047488,-114.061551,,,0
2256,2256,"NB Redstone ST@ 128 AV NE",,  51.165535,-113.961798,,,0
2257,2257,"WB  Redstone DR @  Redstone ST NE",,  51.168566,-113.962565,,,0
2258,2258,"NB  Redstone GV @  Redstone DR NE",,  51.168617,-113.966042,,,0
2259,2259,"NB  Redstone GV @  Redstone VI NE",,  51.170880,-113.965964,,,0
2260,2260,"NB  Redstone GV @  Redstone PZ NE",,  51.171944,-113.965372,,,0
2261,2261,"NB  Redstone GV @  Redstone AV NE",,  51.173132,-113.963352,,,0
2262,2262,"SB  Redstone ST @  Redstone AV NE",,  51.172891,-113.961400,,,0
2263,2263,"SB  Redstone ST @  Redstone PA NE",,  51.169343,-113.962044,,,0
2264,2264,"WB 128 AV NE @  Redstone ST",,  51.165352,-113.962929,,,0
2265,2265,"EB Skyview Ranch DR @ 52 ST NE (proposed)",,  51.157880,-113.957853,,,0
2267,2267,"EB 9 AV SW @ 81 ST SW",,  51.059553,-114.205490,,,0
2268,2268,"WB 9 AV SW @ 77 ST SW",,  51.059753,-114.199942,,,0
2269,2269,"EB Skyview Ranch DR @ Skyview Ranch ST NE",,  51.157949,-113.954998,,,0
2270,2270,"NB Skyview Ranch BV @ Skyview Point CM NE",,  51.158607,-113.950978,,,0
2271,2271,"NB Skyview Ranch BV @ Skyview Ranch AV NE",,  51.161077,-113.950700,,,0
