route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
36-20429,2016MA-1BUSSA-Saturday-01,33155081,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155082,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155083,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155084,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155085,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155086,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155087,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155088,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155089,"RIVERBEND",0,4167036,360016
36-20429,2016MA-1BUSSA-Saturday-01,33155090,"RIVERBEND",0,4167036,360016
41-20429,2016MA-1BUSSA-Saturday-01,33155091,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155092,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155093,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155094,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155095,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155096,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155097,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155098,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155099,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155100,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155101,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155102,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155103,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155104,"ROUTE 41",0,4167037,410024
41-20429,2016MA-1BUSSA-Saturday-01,33155105,"ROUTE 41",0,4167037,410024
1-20429,2016MA-1BUSSA-Saturday-01,33155106,"FOREST LAWN",0,4167039,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155107,"FOREST LAWN",0,4167041,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155108,"FOREST LAWN",0,4167043,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155109,"BOWNESS",1,4167040,10072
1-20429,2016MA-1BUSSA-Saturday-01,33155110,"BOWNESS",1,4167042,10072
1-20429,2016MA-1BUSSA-Saturday-01,33155111,"FOREST LAWN",0,4167040,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155112,"FOREST LAWN",0,4167042,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155113,"FOREST LAWN",0,4167039,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155114,"BOWNESS",1,4167075,10072
1-20429,2016MA-1BUSSA-Saturday-01,33155115,"FOREST LAWN",0,4167093,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155116,"FOREST LAWN",0,4167094,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155117,"FOREST LAWN",0,4167040,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155118,"FOREST LAWN",0,4167075,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155119,"FOREST LAWN",0,4167093,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155120,"FOREST LAWN",0,4167041,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155121,"FOREST LAWN",0,4167094,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155122,"FOREST LAWN",0,4167040,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155123,"FOREST LAWN",0,4167075,10061
1-20429,2016MA-1BUSSA-Saturday-01,33155124,"CITY CENTRE",0,4167093,10054
1-20429,2016MA-1BUSSA-Saturday-01,33155125,"CITY CENTRE",0,4167041,10054
1-20429,2016MA-1BUSSA-Saturday-01,33155126,"CITY CENTRE",0,4167094,10054
28-20429,2016MA-1BUSSA-Saturday-01,33155127,"DEER RUN",0,4167120,280005
28-20429,2016MA-1BUSSA-Saturday-01,33155128,"DEER RUN",0,4167127,280005
28-20429,2016MA-1BUSSA-Saturday-01,33155129,"DEER RUN",0,4167120,280005
